user_id,Channel,TotalTransactionAmount,Tx_Count,DaysSinceLastTrans,reseller_id,superdealer_id,Product_ServiceProvider,Product_Type,Product_Category
1191,8.0,532700,137,30,1130.0,18.0,Jos Electric,Postpaid,Electricity
1287,1.0,1635552,131,30,0.0,18.0,MTN,Airtime,Telco
1168,8.0,548300,114,30,1130.0,18.0,Jos Electric,Postpaid,Electricity
1119,2.0,12200,13,30,0.0,447.0,Airtel,Data,Telco
1168,8.0,211700,75,30,1130.0,18.0,Jos Electric,Prepaid,Electricity
1119,1.0,53400,106,30,0.0,447.0,MTN,Airtime,Telco
1183,8.0,276700,134,30,1130.0,18.0,Jos Electric,Prepaid,Electricity
919,1.0,75100,319,30,0.0,447.0,Glo,Airtime,Telco
919,1.0,97350,265,30,0.0,447.0,MTN,Airtime,Telco
1437,2.0,900,9,30,0.0,447.0,Glo,Data,Telco
1009,1.0,33900,216,30,0.0,18.0,MTN,Airtime,Telco
919,2.0,14600,18,30,0.0,447.0,MTN,Data,Telco
1189,8.0,200150,108,30,1130.0,18.0,Jos Electric,Prepaid,Electricity
1437,1.0,32500,95,30,0.0,447.0,Glo,Airtime,Telco
1768,1.0,50150,120,30,0.0,447.0,MTN,Airtime,Telco
922,1.0,70750,169,30,0.0,447.0,MTN,Airtime,Telco
1437,1.0,51050,109,30,0.0,447.0,Airtel,Airtime,Telco
1437,1.0,105350,262,30,0.0,447.0,MTN,Airtime,Telco
1130,1.0,30830,105,30,0.0,18.0,MTN,Airtime,Telco
1285,1.0,151500,59,30,0.0,18.0,Glo,Airtime,Telco
1285,1.0,636511,177,30,0.0,18.0,Airtel,Airtime,Telco
1285,1.0,5038500,2051,30,0.0,18.0,MTN,Airtime,Telco
922,1.0,19200,58,30,0.0,447.0,9mobile,Airtime,Telco
1188,8.0,133700,81,30,1130.0,18.0,Jos Electric,Prepaid,Electricity
1119,1.0,29600,54,30,0.0,447.0,Airtel,Airtime,Telco
